0 -nan -nan -nan 1850.59 1850.59 1850.59 
9993 0 -1843.29 0 -1850.59 -1850.59 -1850.59 
9973 0 -1840.97 0 -1850.59 -1850.59 -1850.59 
10012 0 -1833.8 0 -1850.59 -1850.59 -1850.59 
10014 0 -1836.43 0 -1850.59 -1850.59 -1850.59 
9990 0 -1843.84 0 -1850.59 -1850.59 -1850.59 
9997 0 -1845.55 0 -1850.59 -1850.59 -1850.59 
10015 0 -1845.23 0 -1850.59 -1850.59 -1850.59 
10001 0 -1838.82 0 -1850.59 -1850.59 -1850.59 
9987 0 -1832.38 0 -1850.59 -1850.59 -1850.59 
9996 0 -1839.74 0 -1850.59 -1850.59 -1850.59 
